shots and shots_on_target,0.9406154584920258
score and shots_on_target,0.6954549396853326
score and shots,0.6271508318086773
shots_on_target and shot_accuracy,0.5328581770147539
shots and corners,0.5219545204134934
shots_on_target and corners,0.48591237322043834
shots and tackles,0.45859104083558594
possession and pass_accuracy,0.45482396761541144
shots_on_target and tackles,0.40430139827468653
shots and shot_accuracy,0.3641804723002928
possession and shot_accuracy,0.3505559298444121
tackles and fouls,0.3305300361740043
shots_on_target and possession,0.3182661344506588
score and possession,0.31755225816130483
shots and possession,0.30595448080237675
score and shot_accuracy,0.2900482319674993
tackles and corners,0.26740187444854685
shot_accuracy and pass_accuracy,0.21663727602110705
corners and shot_accuracy,0.1873265684145622
tackles and shot_accuracy,0.18112649410472578
shots and fouls,0.1805855748376516
score and pass_accuracy,0.1735130942932201
shots_on_target and pass_accuracy,0.16479549215529918
shots_on_target and fouls,0.1527548468831717
shots and pass_accuracy,0.1478854294967897
possession and corners,0.10866933135980081
fouls and corners,0.06710889677461392
score and corners,0.059541519920125664
fouls and shot_accuracy,0.04487443168514213
score and tackles,-0.0020060162709157484
corners and pass_accuracy,-0.017286150684833065
score and fouls,-0.03492607821951875
possession and tackles,-0.04243158585265472
possession and fouls,-0.08827910645822937
fouls and pass_accuracy,-0.12906613751286186
tackles and pass_accuracy,-0.17642628872574123
