h_team,a_team,time,h_score,a_score,cancelled,h_shots,h_shots_on_target,h_possession,h_tackles,h_fouls,h_corners,h_shot_acc,h_pass_acc,a_shots,a_shots_on_target,a_possession,a_tackles,a_fouls,a_corners,a_shot_acc,a_pass_acc,filename,h_penalty_score,a_penalty_score
Tjappies FC,Strohhutpiraten,12.43,-1,-1,True,2,2,62,1,0,0,100,94,1,1,38,1,0,1,100,84,WL318.jpg,,
Tantuboii,Tjappies FC,39:00,-1,-1,True,1,1,45,8,0,0,100,92,2,2,55,8,1,0,100,85,WL319.jpg,,
Gheorghe Xl,FCT x BVB,3.23,-1,-1,True,0,0,31,0,0,0,0,83,1,1,69,0,0,0,100,100,10-11-2020_16-35-39-gd3v30gx.png,,
FC Rille,Tjappies FC,120:00,-1,4,False,8,4,48,22,1,0,50,86,9,7,52,13,1,1,77,86,WL325.jpg,0.0,0.0
Red Bull Honda,Tjappies FC,90:00,2,7,False,8,4,48,16,1,1,50,82,10,10,52,10,2,2,100,90,WL331.jpg,,
FALKUM,Tjappies FC,27.31,-1,-1,True,0,0,47,5,1,0,0,90,4,1,53,4,0,1,25,95,WL-55.jpg,,
Sevilla fc,Tjappies FC,55:18,-1,-1,True,0,0,58,4,0,0,0,89,5,5,42,3,0,0,100,91,WL-41.jpg,,
Tjappies FC,VAMOS FC,90:00,2,0,False,4,3,52,5,1,0,75,94,4,2,48,13,0,2,50,88,WL26.jpg,,
Los Arias ,Tjappies FC,58.40,-1,-1,True,2,2,48,6,1,0,100,85,8,6,52,8,1,1,75,87,WL32.jpg,,
Paris SG,Tjappies FC,90:00,0,1,False,5,3,58,12,1,2,60,94,5,5,42,15,1,2,100,88,WL127.jpg,,
S € vatan,Tjappies FC,90:00,1,2,False,3,2,51,12,1,0,66,90,6,5,49,7,3,2,83,88,WL133.jpg,,
FCT x BVB,Black Xl,90:00,5,1,False,11,10,52,7,1,1,90,90,5,3,48,11,1,0,60,84,10-11-2020_16-35-46-ltrrmn1y.png,,
FC,Tjappies FC,44:36,-1,-1,True,1,1,39,9,1,0,100,89,8,5,61,12,0,2,62,94,WL279.jpg,,
Tjappies FC,Berkeley OF,22.11,-1,-1,True,3,2,64,1,0,0,66,93,1,1,36,8,1,0,100,80,WL251.jpg,,
Tjappies FC,Eutermann,90:00,4,2,False,10,7,53,15,1,2,70,85,2,2,47,12,0,0,100,79,WL245.jpg,,
Tjappies FC,Xarli22,120:00,4,3,False,5,5,54,9,1,1,100,87,11,7,46,14,1,3,63,86,WL292.jpg,,
Tjappies FC,Maichingen,120:00,1,2,False,4,2,49,15,0,0,50,88,5,5,51,22,1,0,100,88,WL286.jpg,,
Santa Lucia,Tjappies FC,90:00,3,2,False,4,4,53,1,0,1,100,91,6,5,47,16,0,1,83,88,WL290.jpg,,
Tjappies FC,Hillingdon FC,64.27,-1,-1,True,5,5,51,8,0,1,100,87,2,1,49,9,0,1,50,81,WL284.jpg,,
Horgen United,Tjappies FC,51.07,-1,1,False,1,0,44,5,0,0,0,82,5,2,56,6,0,1,40,87,WL253.jpg,,
Paulusk FC,Tjappies FC,33.44,-1,-1,True,3,2,47,2,0,0,66,94,5,4,53,2,0,1,80,94,WL247.jpg,,
REAL MADRID,Tjappies FC,11.21,-1,-1,True,0,0,42,2,0,0,0,83,2,2,58,2,0,0,100,93,WL334(1).jpg,,
Tjappies FC,TEAM DODOS,90:00,3,2,False,5,4,53,3,2,2,80,91,6,5,47,9,0,0,83,91,WL125.jpg,,
ale Fc,Tjappies FC,90:00,5,6,False,7,6,46,17,1,1,85,84,10,7,54,8,1,0,70,92,WL131.jpg,,
iBaRbo FC,Tjappies FC,34:17,-1,-1,True,1,0,31,5,1,0,0,92,5,4,69,6,0,1,80,96,WL119.jpg,,
Pompey FC,FCT x BVB,90:00,3,2,False,9,7,55,8,1,1,77,88,9,7,45,11,3,1,77,84,29-10-2020_15-27-25-32vgcuuc.png,,
Tjappies FC,HolleBollePanda,120:00,7,2,False,16,13,57,12,0,5,81,92,4,3,43,20,2,0,75,90,WL24.jpg,,
Tjappies FC,BJK 1893,120:00,2,3,False,8,5,51,15,0,2,62,89,5,4,49,13,1,3,80,89,WL30.jpg,,
CHIRINGONES FC,Tjappies FC,90:00,1,0,False,3,2,48,8,0,0,66,84,5,4,52,6,0,1,80,87,WL18.jpg,,
Fc DiDi,Tjappies FC,90:00,2,1,False,5,3,56,12,0,0,60,92,5,3,44,9,0,4,60,93,WL-57.jpg,,
Hamburg,Tjappies FC,32:58,41,1,False,2,1,47,6,0,0,50,79,4,4,53,1,0,1,100,88,WL-43.jpg,,
Team Flex,Tjappies FC,31.37,-1,-1,True,3,1,42,3,4,2,33,87,5,5,58,4,1,1,100,90,WL327.jpg,,
Meiwa FC,Tjappies FC,90:00,4,3,False,9,8,56,9,0,2,88,88,8,5,44,13,1,1,62,87,WL333.jpg,,
FCT x BVB,CF Kingy,90:00,5,1,False,12,7,65,6,0,2,58,86,5,4,35,8,4,2,80,83,10-11-2020_16-35-43-cupocaiy.png,,
FCT x BVB,Vii FC,37.06,-1,-1,True,8,6,71,8,0,2,75,96,0,0,29,9,1,2,0,78,10-11-2020_16-35-43-nwamkvyj.png,,
Atletico,Tjappies FC,90:00,2,5,False,4,3,55,13,1,1,75,87,9,6,45,9,2,1,66,91,FIFA 21 FUT Champions (In Menus)_11.jpg,,
Tjappies FC,castilla fc,17.44,-1,-1,True,5,5,66,4,0,0,100,96,0,0,34,4,0,0,0,82,WL332.jpg,,
Die Wuseligen,Tjappies FC,40:49,-1,-1,True,0,0,52,2,0,0,0,91,4,3,48,3,0,0,75,93,FIFA 21 FUT Champions (In Menus)_39.jpg,,
Tjappies FC,MariosXl ,90:00,2,3,False,7,4,48,9,2,1,57,88,7,6,52,8,2,1,85,88,WL326.jpg,,
FCT x BVB,FIFA With Style,90:00,2,4,False,4,4,48,7,2,1,100,85,9,8,52,9,2,2,88,84,10-11-2020_16-35-37-f4vtnd1s.png,,
FCT x BVB,On Fire FC,15.01,-1,-1,True,3,3,51,2,0,0,100,91,0,0,49,1,0,0,0,96,29-10-2020_15-27-31-pnp1qdda.png,,
Tjappies FC,US Requista,120:00,2,3,False,5,5,51,10,0,2,100,91,9,5,49,16,1,1,55,89,WL-42.jpg,,
Tjappies FC,dsds1,43.00,-1,-1,True,5,5,60,3,1,0,100,93,1,0,40,4,0,0,0,85,WL-56.jpg,,
KF BUJANOCL,Tjappies FC,90:00,2,3,False,5,5,40,18,4,1,100,82,9,7,60,11,1,1,77,92,WL19.jpg,,
FC De Legends,Tjappies FC,11.45,-1,-1,True,0,0,42,2,0,0,0,85,2,2,58,1,0,0,100,93,WL31.jpg,,
No Win For UU,Tjappies FC,90:00,1,2,False,5,3,42,8,0,1,60,85,10,7,58,8,0,2,70,91,WL25.jpg,,
Ac MILAN,Tjappies FC,90:00,2,1,False,5,3,53,1,0,0,60,93,2,2,47,5,1,0,100,92,WL118.jpg,,
Tjappies FC,PAPINHOO FC,4.51,-1,1,False,1,1,74,0,0,0,100,85,0,0,26,3,0,0,0,57,WL130.jpg,,
SHELDON FC,Tjappies FC,90:00,3,5,False,5,5,39,11,0,1,100,84,14,10,61,11,0,3,71,91,WL124.jpg,,
SuprAuteuil,FCT x BVB,13.41,-1,-1,True,0,0,31,0,0,0,0,93,4,3,69,2,0,0,75,92,29-10-2020_15-27-27-ecsceb3m.png,,
Cadiz CF,Tjappies FC,10:32,-1,-1,True,0,0,50,2,0,0,0,88,2,1,50,4,0,0,50,86,WL246.jpg,,
SCORPIONS FC,FCT x BVB,90:00,2,6,False,5,4,57,8,0,1,80,87,7,7,43,13,2,0,100,90,29-10-2020_15-27-22-gdmwefro.png,,
BLUES,Tjappies FC,90:00,1,3,False,3,3,45,13,1,0,100,87,9,6,55,13,0,3,66,87,WL252.jpg,,
FCT x BVB,Salt nd vinagre,29:59,-1,-1,True,6,5,57,3,0,1,83,93,0,0,43,4,2,0,0,76,29-10-2020_15-27-29-ex3lcird.png,,
Tjappies FC,Inaya,90:00,5,2,False,9,8,59,12,0,1,88,89,4,4,41,15,1,0,100,82,WL285.jpg,,
CrewSquad,Tjappies FC,90:00,2,3,False,6,5,53,13,1,1,83,92,8,6,47,6,3,0,75,92,WL291.jpg,,
BriliSc,Tjappies FC,90:00,2,3,False,3,1,43,13,1,0,33,87,6,5,57,7,0,3,83,91,WL295.jpg,,
Tjappies FC,Joes Rovers,90:00,5,0,False,10,10,58,1,1,2,100,90,2,1,42,11,1,2,50,80,WL281.jpg,,
Fc Giesing,Tjappies FC,90:00,2,1,False,3,3,50,14,0,0,100,93,3,3,50,7,1,1,100,91,WL256.jpg,,
Bremen Fortuna,Tjappies FC,27.42,-1,-1,True,1,0,39,4,2,0,0,80,6,5,61,0,0,2,83,91,WL242.jpg,,
test,Precise,90:00,3,2,False,10,7,45,10,0,1,70,90,3,2,55,4,0,0,66,91,29-10-2020_15-27-21-lojnytb3.png,,
FCT x BVB,The Popes Xl,90:00,2,0,False,7,5,40,11,0,4,71,81,6,2,60,7,2,0,33,83,22-10-2020_13-54-41-qimcboaq.png,,
VV TREKVOGELS,Tjappies FC,24.56,-1,-1,True,1,1,52,2,2,0,100,87,2,2,48,3,0,1,100,82,WL108.jpg,,
Napoli ssc,FCT x BVB,54.07,-1,-1,True,1,1,45,7,0,0,100,87,8,7,55,6,1,1,87,89,29-10-2020_15-27-24-3f0cj0z2.png,,
Maths Wins,Tjappies FC,37.03,-1,-1,True,1,1,45,3,0,0,100,89,5,3,55,11,0,0,60,85,WL120.jpg,,
Saiyans FC,FCT x BVB,90:00,5,3,False,11,7,57,8,0,2,63,88,9,8,43,7,1,3,88,82,22-10-2020_13-54-39-ciyriz4q.png,,
Tjappies FC,FC Tabs,15.33,-1,-1,True,1,1,61,2,0,0,100,84,0,0,39,3,1,0,0,79,WL134.jpg,,
Tjappies FC,Drecksspiel,90:00,1,0,False,5,3,53,7,0,3,60,92,1,1,47,7,0,0,100,92,WL-52.jpg,,
doreedeplatine,Tjappies FC,90:00,1,2,False,3,0,47,16,0,0,0,79,7,5,53,13,0,0,71,86,WL-46.jpg,,
ConkaiSZN,Tjappies FC,90:00,4,1,False,8,7,57,8,0,1,87,94,3,3,43,9,0,1,100,90,WL21.jpg,,
el paco,Tjappies FC,90:00,1,7,False,2,0,44,9,0,0,0,81,12,10,56,13,0,3,83,83,WL35.jpg,,
AstroWorld,Tjappies FC,90:00,2,4,False,4,4,49,8,1,2,100,85,7,5,51,10,3,0,71,89,FIFA 21 FUT Champions (In Menus)_15.jpg,,
FC Goersroth,Tjappies FC,120:00,2,4,False,3,3,42,10,0,1,100,83,9,7,58,9,3,4,77,88,WL355(1).jpg,,
Moleicster,Tjappies FC,45.00,-1,-1,True,0,0,31,5,3,0,0,80,5,5,69,3,0,3,100,86,FIFA 21 FUT Champions (In Menus)_29.jpg,,
Tjappies FC,ultimaop,67.04,-1,-1,True,7,5,52,1,0,0,71,91,2,2,48,10,1,1,100,89,WL322.jpg,,
FC Vignale,Tjappies FC,32.40,-1,-1,True,3,2,50,4,1,1,66,86,6,5,50,10,0,0,83,86,WL336.jpg,,
FC TS4L,Tjappies FC,44:50,-1,41,False,3,2,44,6,1,1,66,77,5,4,56,4,3,1,80,91,WL337.jpg,,
Tjappies FC,AFC AJAX,90:00,4,1,False,8,5,52,12,0,3,62,90,3,2,48,15,0,1,66,81,WL323.jpg,,
Tjappies FC,LammerDeBammer,7.09,-1,-1,True,2,2,82,1,0,0,100,100,0,0,18,0,0,0,0,100,WL34.jpg,,
LoVe EAsports,FCT x BVB,30.22,-1,-1,True,0,0,48,1,1,0,0,89,6,6,52,3,0,0,100,91,22-10-2020_13-54-39-uv2xueqp.png,,
BEAST FC,Tjappies FC,37.22,-1,-1,True,0,0,49,2,0,0,0,91,5,5,51,6,0,1,100,96,WL20.jpg,,
Tjappies FC,idrissa,13:57,-1,-1,True,2,2,61,0,0,0,100,90,0,0,39,3,0,0,0,66,WL-47.jpg,,
Tjappies FC,FC Royboy,90:00,2,3,False,3,3,46,1,1,0,100,91,7,5,54,13,0,3,71,92,WL-53.jpg,,
La Toho,Tjappies FC,90:00,1,9,False,5,1,40,13,2,2,20,79,16,15,60,11,0,3,93,92,WL135.jpg,,
losPepes,Tjappies FC,45.00,-1,-1,True,4,2,52,3,0,2,50,90,3,3,48,3,1,0,100,95,WL121.jpg,,
Marseille AC,Tjappies FC,90:00,1,-1,False,2,2,48,1,1,0,100,89,7,4,52,14,2,2,57,87,WL109.jpg,,
FCT x BVB,Salta Juniors,32:18,-1,-1,True,7,5,69,2,0,0,71,86,1,1,31,1,0,0,100,78,10-11-2020_16-35-47-stgbjcqf.png,,
Zeus FC,FCT x BVB,90:00,3,4,False,6,3,43,14,2,1,50,83,10,7,57,5,0,4,70,88,29-10-2020_15-27-28-0jwud4tb.png,,
FcBier,Tjappies FC,90:00,0,2,False,4,3,38,20,2,3,75,81,7,4,62,14,0,2,57,93,WL243.jpg,,
Legends FC,Tjappies FC,90:00,1,3,False,4,4,42,11,1,0,100,83,6,5,58,9,2,1,83,93,WL257.jpg,,
DEMBOUZ FC,Tjappies FC,35.44,-1,-1,True,1,1,43,5,0,0,100,82,5,4,57,5,0,1,80,92,WL280.jpg,,
OOSTBLOK BG FC,Tjappies FC,90:00,1,4,False,4,1,51,5,1,0,25,87,7,5,49,9,2,1,71,90,WL294.jpg,,
Tjappies FC,PSV Stralsund,54.08,-1,-1,True,7,7,57,5,0,0,100,88,3,2,43,8,0,1,66,81,WL282.jpg,,
Lazoc FC,FCT x BVB,90:00,3,2,False,8,7,59,13,1,1,87,88,5,2,41,8,0,0,40,87,29-10-2020_15-27-23-0ugq2wl3.png,,
Xenon FC,Tjappies FC,13.46,-1,-1,True,0,0,37,3,0,0,0,68,2,2,63,1,0,0,100,87,WL269.jpg,,
Tjappies FC,Dorados,29.59,-1,-1,True,3,2,52,2,0,0,66,94,2,2,48,5,1,1,100,88,WL241.jpg,,
FarihaMarket,Tjappies FC,90:00,2,3,False,3,1,45,12,0,1,33,85,7,6,55,10,1,1,85,91,WL255.jpg,,
REGAZ FC,Tjappies FC,120:00,3,75,False,4,4,52,11,0,1,100,88,10,8,48,9,0,3,80,88,FIFA 21 FUT Champions (In Menus)_9.jpg,,
La Bestia,Tjappies FC,120:00,-1,-1,True,9,4,42,19,2,1,44,81,9,8,58,15,0,0,88,86,WL137.jpg,,
BeastFC,Tjappies FC,90:00,2,6,False,10,6,39,13,4,1,60,82,12,10,61,15,1,1,83,87,WL123.jpg,,
Tjappies FC,LOLAFC,32:11,-1,-1,True,3,3,64,0,0,0,100,98,1,1,36,2,0,0,100,87,WL-45.jpg,,
You Dig,Tjappies FC,26.29,-1,-1,True,4,2,49,3,2,1,50,92,4,3,51,2,0,0,75,94,WL-51.jpg,,
NOAH FC,Tjappies FC,52.25,-1,-1,True,1,0,44,6,2,1,0,85,6,4,56,6,1,2,66,90,WL36.jpg,,
BloodBullet,Tjappies FC,16:15,-1,-1,True,2,1,49,1,0,1,50,90,2,2,51,1,0,0,100,95,WL22.jpg,,
Tjappies FC,MOMENTUM FC,90:00,4,2,False,9,7,48,14,1,0,77,92,3,3,52,12,0,3,100,93,WL309.jpg,,
Bologna AC,Tjappies FC,90:00,1,2,False,7,5,52,16,0,3,71,88,3,2,48,10,1,0,66,91,WL335.jpg,,
FC,Tjappies FC,56.20,-1,-1,True,2,0,43,1,1,0,0,88,3,3,57,9,0,0,100,90,WL321.jpg,,
Arcachon FC,Tjappies FC,90:00,0,2,False,3,1,53,10,1,1,33,90,9,5,47,14,0,2,55,87,WL320.jpg,,
Tjappies FC,Stonks FC,90:00,4,3,False,6,6,45,13,0,1,100,85,7,6,55,13,2,3,85,85,WL296.jpg,,
REAL MADRID,Tjappies FC,11.21,-1,-1,True,0,0,42,2,0,0,0,83,2,2,58,2,0,0,100,93,WL334.jpg,,
Mojito,Tjappies FC,120:00,3,75,False,6,4,48,7,0,0,66,87,12,10,52,12,2,3,83,91,FIFA 21 FUT Champions (In Menus)_17.jpg,,
Max Team,Tjappies FC,90:00,0,5,False,2,0,45,18,2,1,0,79,7,5,55,14,1,1,71,94,WL308.jpg,,
Tjappies FC,MUCHo,120:00,2,1,False,14,11,50,14,0,3,78,90,2,2,50,3,1,1,100,92,WL23.jpg,,
Carlix Fc,Tjappies FC,30:55,-1,-1,True,1,1,49,0,0,1,100,89,3,2,51,4,1,0,66,90,WL37.jpg,,
AJAX AFC,Tjappies FC,53.49,-1,-1,True,5,2,48,5,0,1,40,89,5,5,52,4,0,0,100,91,WL-50.jpg,,
AndyBigBucket,Tjappies FC,90:00,2,3,False,5,5,51,12,1,3,100,87,6,3,49,11,0,0,50,90,WL-44.jpg,,
Floetzinger FC,Tjappies FC,90:00,3,1,False,6,5,48,14,0,2,83,85,3,3,52,13,2,3,100,89,WL122.jpg,,
FC SALVIC 15,FCT x BVB,120:00,-1,2,False,6,3,45,9,0,2,50,86,14,10,55,11,2,1,71,91,29-10-2020_15-27-27-1bntsufw.png,0.0,0.0
TEAM MAGA MAGO,Tjappies FC,90:00,0,10,False,4,3,43,17,3,0,75,81,16,13,57,10,1,0,81,89,WL136.jpg,,
Middlesburo,FCT x BVB,90:00,2,1,False,9,9,49,14,1,3,100,88,8,4,51,7,0,1,50,96,29-10-2020_15-27-29-rsdazn1a.png,,
IKanteBreathe,FCT x BVB,33:54,-1,-1,True,1,1,41,0,1,3,100,63,5,5,59,3,0,0,100,83,10-11-2020_16-35-45-sasbk12x.png,,
Tjappies FC,Steuerberater,90:00,4,1,False,12,9,59,11,0,7,75,88,1,1,41,16,0,0,100,76,WL240.jpg,,
Tjappies FC,FC Halle 05,40:59,-1,-1,True,3,2,65,2,0,0,66,94,0,0,35,5,0,0,0,91,WL254.jpg,,
Tjappies FC,FIFA ENG FCB,39:17,-1,-1,True,2,2,43,1,0,0,100,86,2,1,57,1,0,0,50,95,WL268.jpg,,
Cebazat,Tjappies FC,90:00,1,2,False,4,3,46,1,2,2,75,92,8,7,54,9,0,3,87,87,WL297.jpg,,
Tjappies FC,Mules,90:00,4,1,False,11,9,50,10,0,2,81,89,5,5,50,13,1,1,100,85,WL283.jpg,,
6 UNIT,FCT x BVB,7.05,-1,-1,True,0,0,8,0,1,0,0,75,2,1,92,1,0,0,50,93,10-11-2020_16-35-48-ptuox0t0.png,,
jafoste,Tjappies FC,42.05,-1,-1,True,0,0,46,3,0,0,0,91,1,1,54,5,0,0,100,93,WL265.jpg,,
Ospina Colada,Tjappies FC,90:00,1,4,False,8,5,42,13,0,3,62,78,10,6,58,11,2,0,60,86,WL271.jpg,,
RPO8LEY FC,Tjappies FC,90:00,1,5,False,4,1,44,11,2,0,25,83,8,5,56,5,2,0,62,89,WL259.jpg,,
JoKez FC,Tjappies FC,90:00,2,3,False,3,3,50,11,0,1,100,92,4,4,50,8,0,1,100,91,WL113.jpg,,
dxd167,Tjappies FC,74.20,-1,7,False,3,1,53,9,0,0,33,92,5,4,47,12,0,2,80,89,WL107.jpg,,
WHY U FC,FCT x BVB,90:00,2,3,False,7,6,48,7,2,2,85,82,9,6,52,15,2,0,66,82,22-10-2020_13-54-49-d3cs1zos.png,,
Appelmoesje FC,Tjappies FC,90:00,3,9,False,9,7,39,9,0,0,77,85,17,14,61,8,2,0,82,84,FIFA 21 FUT Champions (In Menus)_5.jpg,,
Tjappies FC,VIS CHIACCIO,90:00,3,2,False,8,5,49,12,1,1,62,91,4,2,51,6,0,0,50,96,WL12.jpg,,
Tjappies FC,twitchkevin62,90:00,2,1,False,6,4,47,13,0,2,66,84,2,1,53,10,0,0,50,87,WL-49.jpg,,
SweatyBia,Tjappies FC,28.41,-1,-1,True,3,2,47,1,2,0,66,87,5,4,53,1,0,0,80,86,WL311.jpg,,
MILAN 1899,Tjappies FC,9.50,13,-1,False,0,0,42,2,0,0,0,71,2,2,58,1,0,1,100,100,WL305.jpg,,
Werder Bremen ,Tjappies FC,90:00,1,3,False,5,3,50,9,0,1,60,88,8,3,50,11,3,1,37,86,WL339.jpg,,
GD Viso,Tjappies FC,90:00,1,3,False,1,1,46,15,0,0,100,86,8,5,54,10,0,2,62,89,WL338.jpg,,
FINDING TIMO,Tjappies FC,90:00,1,2,False,7,3,38,11,1,0,42,84,6,4,62,6,1,2,66,88,FIFA 21 FUT Champions (In Menus)_33.jpg,,
Wakanda FC,Tjappies FC,90:00,0,4,False,4,3,50,12,2,3,75,85,8,6,50,14,0,3,75,84,FIFA 21 FUT Champions (In Menus)_27.jpg,,
Tjappies FC,El Guiguitoss,72.40,-1,-1,True,9,8,58,14,0,1,88,87,2,2,42,11,0,0,100,87,WL304.jpg,,
Controversio CF,Tjappies FC,57.03,-1,-1,True,3,2,52,8,2,0,66,94,4,3,48,7,2,0,75,89,WL310.jpg,,
Juventus,Tjappies FC,61:12,-1,-1,True,2,1,47,7,1,0,50,83,6,4,53,7,0,0,66,87,WL-48.jpg,,
Tjappies FC,Muchen Tuchen,45.00,-1,53,False,13,11,62,5,1,0,84,97,0,0,38,7,1,0,0,75,WL13.jpg,,
ShowMeTheMane,FCT x BVB,90:00,2,6,False,3,1,42,10,2,0,33,86,10,10,58,10,3,0,100,88,10-11-2020_16-35-46-g00oxqhf.png,,
FCT x BVB,Jpack Jamais R,48.56,-1,-1,True,6,5,49,5,0,1,83,92,5,2,51,5,0,2,40,86,29-10-2020_15-27-26-mn3if5iw.png,,
Lawfu FC,Tjappies FC,90:00,1,2,False,4,3,57,10,1,0,75,93,4,3,43,13,2,0,75,93,WL106.jpg,,
RoadToGlory,Tjappies FC,90:00,2,3,False,3,3,56,8,0,0,100,89,8,4,44,6,0,1,50,84,WL112.jpg,,
FC ZISS,FCT x BVB,90:00,4,0,False,8,5,53,15,2,2,62,79,6,1,47,9,2,0,16,87,22-10-2020_13-54-50-sj43k514.png,,
FCT x BVB,Mort FC,11.03,-1,32,False,5,5,68,1,0,0,100,96,0,0,32,0,0,0,0,69,22-10-2020_13-54-51-orjjlrds.png,,
mestreecf,Tjappies FC,32.57,-1,-1,True,5,4,48,6,0,1,80,88,4,4,52,5,1,0,100,85,WL258.jpg,,
Tjappies FC,Galakticos,90:00,1,0,False,3,1,57,8,1,1,33,89,6,3,43,10,0,1,50,86,WL270.jpg,,
UmTiTiDaNcek5,Tjappies FC,90:00,2,3,False,6,5,43,9,2,3,83,87,10,8,57,13,0,2,80,92,WL264.jpg,,
TheBeast,FCT x BVB,90:00,1,5,False,5,4,48,14,2,1,80,81,13,10,52,16,2,1,76,85,22-10-2020_13-54-54-cnv2h54r.png,,
TEAM OVERMARS,Tjappies FC,90:00,2,0,False,3,3,58,11,0,1,100,94,0,0,42,12,0,0,0,89,WL299.jpg,,
GloUpDinerog,Tjappies FC,4.37,-1,-1,True,0,0,38,0,1,0,0,100,2,2,62,2,0,0,100,100,WL272.jpg,,
King Kenny FC,Tjappies FC,90:00,2,3,False,3,3,51,1,2,0,100,95,6,4,49,7,1,2,66,92,WL266.jpg,,
Catamarca FC,FCT x BVB,120:00,7,74,False,9,9,51,12,1,0,100,87,6,5,49,9,3,1,83,87,10-11-2020_16-35-35-qyrqt4lh.png,,
Meiwa FC,Tjappies FC,90:00,4,3,False,9,8,56,9,0,2,88,88,8,5,44,13,1,1,62,87,WL333(1).jpg,,
FCT x BVB,ching chong,90:00,3,2,False,7,5,49,6,2,0,71,91,8,5,51,10,0,1,62,88,10-11-2020_16-35-42-r3qzlvbx.png,,
Kendal Town,FCT x BVB,17.25,-1,-1,True,0,0,64,2,0,0,0,90,3,3,36,1,0,0,100,83,22-10-2020_13-54-50-pp5wnm3v.png,,
Tjappies FC,Bolton Rangers,18:16,-1,-1,True,3,3,65,4,0,1,100,94,0,0,35,2,0,0,0,89,WL104.jpg,,
Tjappies FC,Tubaroes Verdes,6.20,-1,-1,True,3,3,69,2,1,0,100,85,1,0,31,0,0,0,0,100,WL110.jpg,,
PAOKG4,Tjappies FC,41.38,1,-1,False,1,1,45,5,0,0,100,88,8,8,55,7,0,1,100,94,WL138.jpg,,
CAMERONZ,Tjappies FC,8.23,-1,-1,True,0,0,28,1,0,0,0,88,1,1,72,2,0,0,100,100,WL11.jpg,,
Genova FC,Tjappies FC,45.00,-1,-1,True,0,0,43,6,1,0,0,85,4,4,57,6,0,2,100,92,WL39.jpg,,
SculoAndry,FCT x BVB,90:00,3,5,False,5,4,50,11,3,1,80,92,10,7,50,9,2,0,70,91,10-11-2020_16-35-36-0wd3xedc.png,,
Tjappies FC,SDPalmerales,120:00,5,2,False,9,8,56,6,1,2,88,89,4,2,44,13,1,1,50,88,WL306.jpg,,
bob L eponge,Tjappies FC,90:00,3,0,False,9,7,59,7,0,0,77,91,6,5,41,13,0,1,83,87,FIFA 21 FUT Champions (In Menus)_19.jpg,,
VivaFranco FC,Tjappies FC,14.59,-1,-1,True,0,0,32,6,0,0,0,64,5,4,68,4,0,0,80,96,WL312.jpg,,
Papaya FC,Tjappies FC,90:00,2,3,False,5,4,40,14,2,1,80,82,7,5,60,12,0,2,71,85,FIFA 21 FUT Champions (In Menus)_31.jpg,,
Tjappies FC,CF Longhi,90:00,3,4,False,3,3,39,6,1,0,100,84,9,8,61,8,1,2,88,95,FIFA 21 FUT Champions (In Menus)_25.jpg,,
Comunio Timbers,Tjappies FC,45.00,-1,-1,True,4,2,43,6,0,2,50,79,5,4,57,4,0,1,80,87,WL313.jpg,,
BurOmer FC,Tjappies FC,90:00,1,3,False,2,2,49,20,1,0,100,88,9,7,51,12,0,3,77,88,WL307.jpg,,
SG Gobsen,Tjappies FC,58.20,-1,-1,True,2,2,40,11,1,1,100,85,5,5,60,7,0,2,100,88,WL38.jpg,,
EGG FRIED REUS,Tjappies FC,36:33,-1,-1,True,2,1,42,6,0,0,50,76,5,4,58,3,2,0,80,91,WL10.jpg,,
LOS COLGAOS,Tjappies FC,13.44,-1,-1,True,1,1,36,1,0,1,100,85,1,1,64,0,0,0,100,91,WL139.jpg,,
Tjappies FC,AC TUA,26.20,-1,-1,True,5,5,58,5,1,1,100,86,6,3,42,3,0,3,50,80,FIFA 21 FUT Champions (In Menus)_7.jpg,,
nwt21147,Tjappies FC,12.58,-1,-1,True,0,0,44,2,0,0,0,72,3,2,56,2,0,0,66,88,WL111.jpg,,
NILS Xl,Tjappies FC,90:00,0,2,False,3,1,44,10,1,1,33,87,5,3,56,9,2,0,60,90,WL105.jpg,,
big up ur nan,FCT x BVB,45.00,-1,-1,True,1,1,42,3,0,0,100,81,12,10,58,7,0,2,83,89,29-10-2020_15-27-34-t4ic4lkr.png,,
FEBREZE MUAMBA,FCT x BVB,90:00,4,3,False,6,6,60,8,2,0,100,89,7,6,40,9,1,1,85,85,10-11-2020_16-35-38-05isnaeg.png,,
FCT x BVB,FIFAISPOO,40:08,-1,-1,True,8,8,68,6,0,2,100,93,3,3,32,8,1,0,100,82,29-10-2020_15-27-32-3qfjgyzu.png,,
FUT FC,Tjappies FC,34.09,-1,-1,True,0,0,40,1,0,0,0,83,5,4,60,1,0,1,80,92,WL267.jpg,,
villianfc,Tjappies FC,51.58,-1,-1,True,4,3,43,8,0,2,75,87,10,10,57,9,2,2,100,86,WL273.jpg,,
Wolves eSports,Tjappies FC,120:00,-1,5,False,8,6,39,18,1,1,75,87,9,7,61,12,0,1,77,92,WL298.jpg,0.0,0.0
Tjappies FC,FC Sand,45.00,-1,1,False,5,5,58,5,0,0,100,93,3,3,42,7,0,1,100,90,WL288.jpg,,
FCT x BVB,DrogbasDruggies,120:00,5,74,False,8,7,44,15,1,1,87,86,5,5,56,10,1,1,100,86,22-10-2020_13-54-44-prwhhywo.png,,
