h_team,a_team,time,h_score,a_score,cancelled,h_shots,h_shots_on_target,h_possession,h_tackles,h_fouls,h_corners,h_shot_acc,h_pass_acc,a_shots,a_shots_on_target,a_possession,a_tackles,a_fouls,a_corners,a_shot_acc,a_pass_acc,filename,h_penalty_score,a_penalty_score
AC vostra,Tjappies FC,90:00,0,11,False,2,2,45,14,1,2,100,86,19,16,55,16,1,4,84,93,WL185.jpg,,
Tjappies FC,Juanita,32:18,-1,-1,True,5,5,50,1,0,1,100,91,2,1,50,2,0,1,50,93,WL191.jpg,,
Inazuma eleven,Tjappies FC,90.00,3,1,False,8,5,46,17,1,1,62,83,5,4,54,14,2,1,80,87,WL-5.jpg,,
Xantom CF,Tjappies FC,90:00,2,3,False,3,2,39,14,2,1,66,85,7,5,61,14,1,1,71,92,WL146.jpg,,
Fc Teamplay,Tjappies FC,7.57,-1,-1,True,0,0,37,0,0,0,0,81,2,1,63,0,0,0,50,100,WL152.jpg,,
Bizbiff FC,Tjappies FC,90:00,2,1,False,2,2,46,14,2,0,100,86,5,1,54,19,1,1,20,86,WL53.jpg,,
Iri FC,Tjappies FC,90:00,1,5,False,5,2,51,11,0,2,40,86,9,7,49,13,2,0,77,88,WL-34.jpg,,
Tjappies FC,Schnabelinho FC,90:00,4,3,False,7,6,56,14,0,1,85,86,6,6,44,18,3,3,100,85,WL-20.jpg,,
Tjappies FC,Coventry,90:00,2,1,False,4,2,51,10,0,1,50,85,3,2,49,11,2,1,66,92,WL344.jpg,,
2605 Serranos,Tjappies FC,120:00,-1,2,False,7,5,49,13,0,3,71,89,8,6,51,14,2,4,75,89,WL84.jpg,0.0,0.0
COCOSALIH,Tjappies FC,90:00,4,2,False,6,4,41,10,0,1,66,84,4,3,59,5,1,1,75,86,WL90.jpg,,
Tjappies FC,Sefton County,90:00,3,1,False,3,3,49,8,0,1,100,88,5,5,51,15,3,1,100,86,WL350.jpg,,
La Street,Tjappies FC,90:00,2,3,False,5,4,39,10,0,0,80,86,12,6,61,13,1,2,50,88,FIFA 21 FUT Champions (In Menus)_73.jpg,,
Tjappies FC,Beast United,8.28,-1,-1,True,1,1,78,1,0,0,10,100,0,0,22,0,0,0,0,100,WL7.jpg,,
halbany fc,Tjappies FC,27.47,-1,-1,True,0,0,45,4,0,0,0,83,9,8,55,1,0,3,88,94,FIFA 21 FUT Champions (In Menus)_67.jpg,,
Goebel,Tjappies FC,31.41,-1,-1,True,0,0,40,4,0,1,0,75,7,6,60,5,1,2,85,93,WL6.jpg,,
Tjappies FC,Betze1900,90:00,3,1,False,8,4,56,9,2,2,50,89,5,1,44,13,1,0,20,84,WL91.jpg,,
SGAuba,Tjappies FC,85.44,-1,-1,True,7,5,43,13,1,3,71,81,11,9,57,12,0,3,81,92,WL351.jpg,,
Tjappies FC,CEBOLLITAS FC,65:13,-1,-1,True,5,4,46,9,1,0,80,87,2,1,54,4,1,0,50,93,WL345.jpg,,
Jayyusiii ,Tjappies FC,57.48,-1,-1,True,5,5,48,8,1,1,100,85,8,5,52,5,0,1,62,92,WL33(1).jpg,,
Gelsenkirchen,Tjappies FC,120:00,2,5,False,6,5,49,20,1,1,83,88,13,11,51,16,0,3,84,89,WL85.jpg,,
Tjappies FC,Team PF2,12.18,-1,-1,True,2,2,54,0,0,0,100,100,0,0,46,1,0,0,0,90,WL-21.jpg,,
Tjappies FC,Turkey5u61,7.21,-1,-1,True,2,2,73,1,0,1,100,87,0,0,27,1,0,0,0,75,WL-35.jpg,,
FCT x BVB,FC Sowerzz,90:00,5,2,False,9,8,40,9,0,2,88,93,4,3,60,12,1,1,75,89,22-10-2020_13-54-41-2ol1xax2.png,,
LA SQUAD,FCT x BVB,90:00,2,5,False,10,5,52,15,3,0,50,84,7,7,48,9,2,0,100,82,22-10-2020_13-54-53-4ffoe2cu.png,,
Tjappies FC,The predator,72.05,-1,-1,True,6,6,59,9,1,0,100,92,6,4,41,5,1,2,66,86,WL52.jpg,,
Tjappies FC,NetsixAndChill,90:00,2,0,False,9,7,47,9,2,1,77,94,3,2,53,6,1,1,66,90,FIFA 21 FUT Champions (In Menus)_99.jpg,,
Team Mungui,Tjappies FC,90:00,3,0,False,9,6,49,12,1,2,66,90,2,2,51,10,1,0,100,92,WL153.jpg,,
Tamus,Tjappies FC,90:00,3,6,False,5,4,54,5,0,1,80,89,9,8,46,11,1,2,88,85,WL147.jpg,,
Alvarolm,Tjappies FC,15.31,-1,-1,True,0,0,40,1,0,0,0,81,4,2,60,1,0,0,50,100,WL190.jpg,,
PERICOS BLANCOS,Tjappies FC,30:18,-1,-1,True,1,0,44,6,0,0,0,80,3,3,56,7,0,0,100,92,WL-4.jpg,,
Luuk Le9end,Tjappies FC,90:00,1,4,False,4,3,50,11,1,1,75,85,8,6,50,14,1,0,75,91,WL184.jpg,,
El Pibe De Oro,Tjappies FC,16.23,-1,-1,True,2,2,46,2,0,0,100,86,2,2,54,2,1,0,100,85,WL219.jpg,,
Turboschnecken,Tjappies FC,45.00,-1,-1,True,3,1,37,4,0,0,33,89,4,3,63,3,1,1,75,96,WL225.jpg,,
Tjappies FC,DZZ GANG,90:00,3,1,False,8,7,56,12,0,0,87,90,4,3,44,13,0,1,75,85,WL231.jpg,,
Thiago To Glory,FCT x BVB,20:08,-1,-1,True,1,1,37,2,0,0,100,93,3,3,63,1,0,0,100,90,10-11-2020_16-35-50-2uhbyqj4.png,,
Tjappies FC,Jojoalex2u,90:00,1,0,False,5,5,54,11,1,2,100,91,5,3,46,19,0,0,60,83,Q48.jpg,,
FC Traube Minze,Tjappies FC,74.50,-1,-1,True,4,4,46,6,1,0,100,84,9,5,54,9,0,2,55,88,WL209.jpg,,
Tjappies FC,Lio Bros,90:00,1,2,False,7,6,52,1,1,4,85,90,5,5,48,12,0,1,100,92,WL235.jpg,,
MINABO DE KIEV,Tjappies FC,6.50,-1,-1,True,0,0,46,0,0,0,0,90,1,1,54,0,0,0,100,90,WL221.jpg,,
Woodys Xl,FCT x BVB,90:00,1,3,False,3,2,53,9,0,0,66,89,7,6,47,17,2,0,85,86,10-11-2020_16-35-40-12q20rtg.png,,
Portgas D Ace,Tjappies FC,90:00,2,3,False,5,3,44,1,1,0,60,91,10,6,56,10,0,4,60,91,WL180.jpg,,
Bolzplatzkind,Tjappies FC,90:00,3,2,False,9,8,55,18,0,3,88,88,6,6,45,13,1,1,100,88,WL194.jpg,,
Tjappies FC,ScGermania1993,120:00,-1,4,False,11,8,52,11,1,4,72,92,9,5,48,23,1,1,55,85,WL143.jpg,0.0,0.0
Dreamchasers Fc,Tjappies FC,8.59,-1,1,False,0,0,29,0,1,0,0,85,2,2,71,2,0,0,100,100,WL157.jpg,,
Charcul9,Tjappies FC,15.02,-1,-1,True,0,0,45,1,0,0,0,96,3,3,55,1,0,1,100,93,WL-31.jpg,,
Tjappies FC,FRAN TEAM,30:34,-1,-1,True,4,4,54,0,0,2,100,87,5,1,46,6,0,3,20,83,WL-25.jpg,,
je,Tjappies FC,45.00,-1,-1,True,0,0,45,5,0,0,0,82,7,6,55,5,0,2,85,91,FIFA 21 FUT Champions (In Menus)_89.jpg,,
SV Martinshoehe,Tjappies FC,90:00,3,1,False,8,7,51,12,2,3,87,89,4,4,49,14,3,0,100,85,WL56.jpg,,
Tjappies FC,Sportclub RSN,41:14,-1,-1,True,4,-1,65,4,1,0,100,93,2,1,35,6,1,1,50,83,WL2.jpg,,
KAMEHAMEHA,Tjappies FC,120:00,-1,2,False,9,6,49,15,3,3,66,87,7,6,51,9,2,0,85,89,WL-19.jpg,0.0,0.0
James Is Ugly,FCT x BVB,17.29,-1,-1,True,0,0,39,4,0,0,0,77,5,3,61,1,0,2,60,87,22-10-2020_13-54-46-a15sccza.png,,
3V city FC,Tjappies FC,90:00,0,1,False,4,1,46,6,0,1,25,86,6,3,54,8,1,3,50,85,WL81.jpg,,
Tjappies FC,BUMDER ATHLETIC,15.27,-1,-1,True,1,1,72,2,0,0,100,100,0,0,28,2,0,0,0,66,WL341.jpg,,
FC Goersroth,Tjappies FC,120:00,2,4,False,3,3,42,10,0,1,100,83,9,7,58,9,3,4,77,88,WL355.jpg,,
Tjappies FC,RCD CORUNA,84.32,-1,-1,True,7,4,55,11,1,0,57,79,5,4,45,14,3,2,80,79,WL95.jpg,,
XXXSantiMina,Tjappies FC,34.50,-1,-1,True,2,1,51,5,0,1,50,89,2,2,49,3,1,0,100,91,WL354.jpg,,
Lila Omega 0G,Tjappies FC,57.03,-1,-1,True,3,2,56,5,0,1,66,95,2,2,44,8,1,0,100,88,WL94.jpg,,
Fifa N Chill,Tjappies FC,23.57,-1,-1,True,1,0,42,6,1,1,0,73,2,2,58,5,0,0,100,89,WL80.jpg,,
HA HA HANDICUP,Tjappies FC,90:00,2,4,False,2,2,42,9,1,0,100,88,7,5,58,13,1,1,71,91,WL340.jpg,,
Tjappies FC,Killas FC,35:16,-1,-1,True,7,5,55,0,1,1,71,94,2,1,45,5,0,2,50,72,FIFA 21 FUT Champions (In Menus)_63.jpg,,
K9 UNiit,Tjappies FC,81.22,-1,-1,True,3,0,41,3,1,0,0,87,7,5,59,10,1,2,71,88,WL3.jpg,,
Tjappies FC,BvB Dortmund,90:00,4,2,False,8,6,56,7,1,2,75,93,12,10,44,10,2,1,83,89,FIFA 21 FUT Champions (In Menus)_77.jpg,,
Tjappies FC,Balotellitubies,90:00,1,2,False,5,3,54,3,1,1,60,92,5,5,46,7,1,1,100,89,WL-18.jpg,,
JERRYS ACADEMY,Tjappies FC,120:00,3,2,False,5,3,48,13,0,5,60,85,8,5,52,15,2,3,62,89,WL57.jpg,,
si senor,Tjappies FC,48.06,-1,-1,True,3,3,44,9,1,2,100,88,6,5,56,4,0,2,83,90,WL-24.jpg,,
Brayan12,Tjappies FC,32:58,-1,-1,True,3,2,47,7,0,0,66,84,4,3,53,4,1,0,75,89,WL-30.jpg,,
Tjappies FC,ElChapo,90:00,1,2,False,5,3,53,1,1,1,60,85,6,5,47,10,4,0,83,83,WL156.jpg,,
illuminatic,Tjappies FC,90:00,6,4,False,11,7,46,10,1,1,63,88,7,7,54,5,0,2,100,88,WL142.jpg,,
zedFC,Tjappies FC,9.49,-1,-1,True,0,0,38,0,0,0,0,100,4,4,62,3,0,0,100,94,WL-1.jpg,,
FJFerrrrr21,Tjappies FC,120:00,-1,3,False,6,5,43,16,1,2,83,88,10,7,57,16,4,2,70,91,WL195.jpg,0.0,0.0
Tjappies FC,LocoSquad,90:00,2,3,False,13,9,48,6,0,2,69,89,8,4,52,13,0,2,50,85,WL181.jpg,,
Ajax trees down,FCT x BVB,61.31,-1,-1,True,3,1,55,6,1,1,33,82,8,6,45,7,0,1,75,86,22-10-2020_13-54-47-zzqbz2vi.png,,
IPhoenix,Tjappies FC,90:00,11,-1,False,9,4,38,18,1,3,44,80,5,5,62,13,1,0,100,93,WL220.jpg,,
Tjappies FC,ALCAZAR CF,90:00,0,2,False,3,1,51,6,1,1,33,92,5,5,49,10,0,1,100,90,WL234.jpg,,
Marina FC,FCT x BVB,62:19,-1,153,False,4,3,43,10,1,3,75,85,9,8,57,14,0,1,88,83,29-10-2020_15-27-33-oj1sb3d1.png,,
WRIGHTY,FCT x BVB,90:00,5,3,False,9,9,43,13,1,0,100,87,5,3,57,9,1,1,60,85,10-11-2020_16-35-41-yu1jj4h0.png,,
La Fresneda CF,Tjappies FC,34.29,-1,-1,True,2,0,46,5,2,1,0,84,3,1,54,6,0,0,33,97,WL208.jpg,,
Jojoalex2O,Tjappies FC,90:00,2,3,False,4,3,40,14,3,1,75,88,8,5,60,14,0,2,62,91,Q49.jpg,,
Pollitt FC,Tjappies FC,22.06,-1,-1,True,0,0,47,1,0,0,0,75,4,3,53,1,0,2,75,90,WL222.jpg,,
Tjappies FC,twannipanni5,90:00,6,2,False,9,8,53,9,0,1,88,90,5,5,47,10,0,2,100,87,WL236.jpg,,
Tjappies FC,STONKS FC,90:00,5,1,False,13,12,57,12,0,1,92,96,3,2,43,15,0,0,66,87,WL197.jpg,,
Son Gotleu FC,Tjappies FC,61.04,-1,-1,True,0,0,49,10,4,0,0,91,5,4,51,11,0,0,80,91,WL-3.jpg,,
